,DataFile,metric,method,wX,wY,ID,|W|,logWX,logWY,logMeanTime,logMeanTimeReinit,logMinTime,logMaxTime,minTime,maxTime,mean_reinit,mean_sequential,sd,Method,sparsity,batch_size,num_batches,val_2,logW,ID_full,vlookup_cated,base,acceleration
26,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.75/10000_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.783112495044413,6.79373921941306,6.772219209934399,6.79373921941306,5918603.0,6219267.25,6219267.25,6068935.125,150332.125,kendall_GPU,0.75,10000,1.0,5918603.0,5.0,10000_10_0.75_10000,10000_10_0.75_500,4663427.875,0.7684095774544962
27,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.75/100_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,7.130964818211221,7.138392911500451,7.123407462080651,7.138392911500451,13286404.25,13752856.5,13752856.5,13519630.375,233226.125,kendall_GPU,0.75,100,100.0,13286404.25,5.0,10000_10_0.75_100,10000_10_0.75_500,4663427.875,0.344937527554262
28,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.75/1000_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.693257201973779,6.698344452271233,6.688109653487789,6.698344452271233,4876516.0,4992803.25,4992803.25,4934659.625,58143.625,kendall_GPU,0.75,1000,10.0,4876516.0,5.0,10000_10_0.75_1000,10000_10_0.75_500,4663427.875,0.9450353680675595
29,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.75/500_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.668705264312826,6.671199881103389,6.666196235451432,6.671199881103389,4636563.75,4690292.0,4690292.0,4663427.875,26864.125,kendall_GPU,0.75,500,20.0,4636563.75,5.0,10000_10_0.75_500,10000_10_0.75_500,4663427.875,1.0
30,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.99/5000_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.11489866739549,6.19145534620936,6.02189600335162,6.19145534620936,1051710.0,1554015.5,1554015.5,1302862.75,251152.75,kendall_GPU,0.99,5000,2.0,1051710.0,5.0,10000_10_0.99_5000,10000_10_0.99_500,985332.0,0.7562822714825487
31,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.99/10000_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.203060811850755,6.243611373099432,6.158330371211374,6.243611373099432,1439893.5,1752311.75,1752311.75,1596102.625,156209.125,kendall_GPU,0.99,10000,1.0,1439893.5,5.0,10000_10_0.99_10000,10000_10_0.99_500,985332.0,0.6173362442781523
32,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.99/100_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.911642715078709,6.92271016402044,6.900285834232067,6.92271016402044,7948512.0,8369705.25,8369705.25,8159108.625,210596.625,kendall_GPU,0.99,100,100.0,7948512.0,5.0,10000_10_0.99_100,10000_10_0.99_500,985332.0,0.12076466257366442
33,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.99/1000_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,6.056547459015672,6.115645037545175,5.988122101845342,6.115645037545175,973020.75,1305103.75,1305103.75,1139062.25,166041.5,kendall_GPU,0.99,1000,10.0,973020.75,5.0,10000_10_0.99_1000,10000_10_0.99_500,985332.0,0.8650378853306744
34,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.99/500_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,5.993582587324132,6.005143175306037,5.981705829936704,6.005143175306037,958751.0,1011913.0,1011913.0,985332.0,26581.0,kendall_GPU,0.99,500,20.0,958751.0,5.0,10000_10_0.99_500,10000_10_0.99_500,985332.0,1.0
35,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.5/5000_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,7.138827285315905,7.146724881102712,7.130783408436664,7.146724881102712,13513984.25,14019253.25,14019253.25,13766618.75,252634.5,kendall_GPU,0.5,5000,2.0,13513984.25,5.0,10000_10_0.5_5000,10000_10_0.5_500,11156422.125,0.81039667964946
36,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.5/10000_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,7.195462707390856,7.199921419351332,7.190957744531791,7.199921419351332,15522359.75,15846064.5,15846064.5,15684212.125,161852.375,kendall_GPU,0.5,10000,1.0,15522359.75,5.0,10000_10_0.5_10000,10000_10_0.5_500,11156422.125,0.7113154321100461
37,../results/GeneratedSparseBatchSizeFixed/10000_cells_10_features/0.5/100_GPU_kendall.csv,kendall,GPU,10000,10,10000_10,100000,4.0,1.0,7.297764400041125,7.30184052807247,7.293649652216209,7.30184052807247,19662994.25,20037361.25,20037361.25,19850177.75,187183.5,kendall_GPU,0.5,100,100.0,19662994.25,5.0,10000_10_0.5_100,10000_10_0.5_500,11156422.125,0.562031346293612
